problem,algorithm,gd_mean,spacing_mean,spread_mean,max_spread_mean,archive_mean,elapsed_mean
ZDT1,momsa,0.0036208611,0.0072461298,0.3973898412,0.9999792304,100.0000000000,43.2082148853
ZDT1,nsga2,0.0035335651,0.0069101955,0.3590255479,0.9994386251,100.0000000000,0.9424734306
ZDT1,spea2,0.0044666700,0.0053041672,0.3051960133,0.9918689215,100.0000000000,1.6123060647
ZDT1,moead,0.7132343745,0.4209886044,0.9403851752,0.7456865253,12.7000000000,1.2818205826
ZDT2,momsa,0.0020555786,0.0070114785,0.4748050278,0.8999938282,100.0000000000,55.5089414406
ZDT2,nsga2,0.0021402935,0.0067761964,0.3385657737,0.9989273738,100.0000000000,0.9916278145
ZDT2,spea2,0.0024001224,0.0052560134,0.3116877418,0.9920642360,100.0000000000,1.6321988594
ZDT2,moead,0.0671016302,0.0676197301,1.0671116931,0.0562036757,13.0000000000,1.2360240841
ZDT3,momsa,0.0025336106,0.0089066106,0.5930883052,0.9996901386,100.0000000000,40.9879582907
ZDT3,nsga2,0.0026736758,0.0074483689,0.5400871283,0.9997077070,100.0000000000,0.9767010882
ZDT3,spea2,0.0028932567,0.0052413959,0.5259353408,0.9762924243,100.0000000000,1.6998747815
ZDT3,moead,0.7546616360,0.4943276007,0.9603226179,0.6728091120,12.1000000000,1.3176148947
ZDT4,momsa,6.0048966223,0.0165152199,0.8941571284,0.7071067812,100.0000000000,35.4443759435
ZDT4,nsga2,0.0047452643,0.0069550737,0.3454250054,0.9983408490,100.0000000000,1.0560511424
ZDT4,spea2,0.3229726511,0.3195968059,0.6496859819,0.9934163197,100.0000000000,1.6250328150
ZDT4,moead,8.0923154030,7.5931203463,1.3355961594,0.2602731488,11.8000000000,1.3102715963
ZDT6,momsa,0.4062579101,0.0067777995,1.0206563257,0.9999997462,100.0000000000,42.6501947726
ZDT6,nsga2,0.0076849232,0.0050850692,0.3329954772,0.9924163464,100.0000000000,0.9361296442
ZDT6,spea2,0.0844825100,0.0807966779,0.6720287571,0.9901081757,100.0000000000,1.5390237171
ZDT6,moead,0.6912637881,0.6702599939,1.0399133469,0.9443161662,13.0000000000,1.3070374905
DTLZ1,momsa,26.7349165954,1.4209946565,1.1478825563,1.0000000000,100.0000000000,36.7967820951
DTLZ1,nsga2,0.3543755027,0.1029790509,0.8779002200,1.0000000000,94.8000000000,1.0010226519
DTLZ1,spea2,0.5727039964,0.4546418425,0.7361315822,0.9941977347,100.0000000000,1.6409343261
DTLZ1,moead,0.0514224283,0.0076703231,0.5750373024,0.9974992479,91.0000000000,10.2440445434
DTLZ2,momsa,0.0664155109,0.0595129564,0.7409179576,1.0000000000,100.0000000000,44.9778071865
DTLZ2,nsga2,0.0371113916,0.0550068046,0.7017228012,0.9999999996,100.0000000000,1.0559133494
DTLZ2,spea2,0.0395809463,0.0301854790,0.5611271436,0.9971589899,100.0000000000,2.1314146596
DTLZ2,moead,0.0308097293,0.0569297087,0.6033742361,0.9999760902,90.9000000000,10.1998255494
